account_id,principal_amount,outstanding_amount,dpd,risk_segment,status,loan_type,opened_at,timezone,success_payment_amount,success_payment_count,recovery_rate,dpd_band
ACC0000020,161866.22,45094.95,45,NPA,WRITEOFF,PERSONAL,06-09-2024 11:46,Asia/Kolkata,0,0,0,31-60
ACC0000021,239747.43,360763.28,1,HIGH,ACTIVE,PERSONAL,21-06-2025 10:30,UTC,261163.65,2,0.723919713,Jan-30
ACC0000022,124527.1,164021.52,75,HIGH,PAID,CREDIT_CARD,29-09-2024 20:14,Asia/Dubai,0,0,0,61-90
ACC0000023,423258.91,640336.97,60,HIGH,WRITEOFF,CREDIT_CARD,06-02-2024 04:57,Asia/Kolkata,0,0,0,31-60
ACC0000024,437637.9,541188.19,0,HIGH,CLOSED,CREDIT_CARD,09-08-2024 18:37,Asia/Dubai,21978.42,1,0.040611418,0
ACC0000025,689186.96,163102.81,5,LOW,PAID,PERSONAL,19-07-2024 13:29,Asia/Kolkata,0,0,0,Jan-30
ACC0000026,468523.01,340005.73,45,MEDIUM,ACTIVE,CREDIT_CARD,08-01-2025 16:27,Asia/Kolkata,0,0,0,31-60
ACC0000027,658817.16,84250.6,75,HIGH,PAID,PERSONAL,29-01-2024 00:58,Asia/Kolkata,0,0,0,61-90
ACC0000028,257105.45,76946.8,1,LOW,PAID,AUTO,20-11-2025 06:00,Asia/Dubai,182165.47,2,2.367420997,Jan-30
ACC0000029,543313.14,397975.88,60,NPA,PAID,CREDIT_CARD,21-06-2025 06:57,Asia/Dubai,54002.91,1,0.135693927,31-60
ACC0000030,64916.48,430667.35,75,LOW,CLOSED,PERSONAL,03-02-2025 06:50,UTC,0,0,0,61-90
ACC0000031,447379.28,52195.38,120,MEDIUM,ACTIVE,CONSUMER,05-03-2025 07:45,Asia/Dubai,0,0,0,91-180
ACC0000032,613766.91,163166.21,75,HIGH,WRITEOFF,PERSONAL,29-07-2025 12:28,UTC,148264.74,1,0.908673064,61-90
ACC0000033,643485.7,537562.04,45,LOW,WRITEOFF,CONSUMER,17-02-2025 14:12,Asia/Kolkata,100466.02,1,0.186891954,31-60
ACC0000034,418210.77,477990.41,15,NPA,CLOSED,AUTO,13-04-2024 15:54,Asia/Dubai,0,0,0,Jan-30
ACC0000035,641783.62,376837.41,30,LOW,PAID,BNPL,31-10-2024 13:05,Asia/Dubai,0,0,0,Jan-30
ACC0000036,203070.58,43455.51,30,NPA,PAID,CREDIT_CARD,04-09-2024 02:04,Asia/Kolkata,0,0,0,Jan-30
ACC0000037,213569.42,444063,30,NPA,ACTIVE,AUTO,02-03-2025 15:53,UTC,171367.8,2,0.385908756,Jan-30
ACC0000038,304992.91,99202.51,120,NPA,WRITEOFF,BNPL,03-06-2024 20:55,Asia/Kolkata,0,0,0,91-180
ACC0000039,418639.85,307479.36,45,MEDIUM,WRITEOFF,PERSONAL,18-02-2024 11:40,Asia/Kolkata,0,0,0,31-60
ACC0000040,321055.75,51188.04,90,LOW,CLOSED,AUTO,14-09-2025 15:52,Asia/Dubai,175277.3,2,3.424184634,61-90
ACC0000041,428408.26,434086.27,0,MEDIUM,PAID,PERSONAL,30-05-2025 02:36,Asia/Kolkata,0,0,0,0
ACC0000042,25786.31,398194.73,75,HIGH,WRITEOFF,CREDIT_CARD,16-02-2025 09:37,Asia/Dubai,0,0,0,61-90
ACC0000043,458168.93,10596.55,45,MEDIUM,ACTIVE,PERSONAL,27-07-2024 09:43,Asia/Kolkata,11710.27,1,1.105102132,31-60
ACC0000044,674601.58,93976.57,90,LOW,WRITEOFF,AUTO,20-01-2024 11:32,UTC,0,0,0,61-90
ACC0000045,609460.11,588888.35,1,LOW,WRITEOFF,PERSONAL,07-09-2025 03:30,Asia/Kolkata,97321.33,1,0.165262787,Jan-30
ACC0000046,533383.69,487057.57,30,LOW,PAID,CONSUMER,26-11-2025 13:05,Asia/Kolkata,45021.98,1,0.09243667,Jan-30
ACC0000047,742319.12,134904.57,90,LOW,PAID,CONSUMER,25-07-2025 19:48,UTC,186011.51,2,1.378837722,61-90
ACC0000048,509403.34,563305.29,0,LOW,ACTIVE,CONSUMER,26-02-2024 20:31,UTC,231156.78,3,0.410357907,0
ACC0000049,303559.08,418724.32,15,MEDIUM,CLOSED,BNPL,04-02-2025 00:25,UTC,0,0,0,Jan-30
ACC0000050,224912.24,213884.7,15,NPA,CLOSED,BNPL,08-11-2024 12:04,Asia/Dubai,0,0,0,Jan-30
ACC0000051,585437.79,580808.7,60,NPA,ACTIVE,AUTO,29-11-2024 23:30,UTC,33112.26,1,0.057010613,31-60
ACC0000052,218304.35,676258.98,60,MEDIUM,PAID,CONSUMER,27-05-2025 06:24,UTC,0,0,0,31-60
ACC0000053,227805.57,480332.44,30,LOW,WRITEOFF,PERSONAL,01-01-2024 05:07,UTC,0,0,0,Jan-30
ACC0000054,65927.93,647780.81,15,MEDIUM,PAID,PERSONAL,17-12-2024 16:51,UTC,0,0,0,Jan-30
ACC0000055,164530.91,612365.44,45,LOW,ACTIVE,AUTO,27-02-2025 05:47,UTC,0,0,0,31-60
ACC0000056,630047.3,374086.74,75,NPA,ACTIVE,CONSUMER,26-11-2025 18:26,Asia/Dubai,163628,1,0.437406576,61-90
ACC0000057,259186.37,318116.64,180,HIGH,PAID,PERSONAL,16-01-2025 05:08,UTC,0,0,0,91-180
ACC0000058,678999.75,341297.86,30,MEDIUM,CLOSED,PERSONAL,09-07-2025 03:11,Asia/Dubai,0,0,0,Jan-30
ACC0000059,788593.05,320475.94,120,LOW,WRITEOFF,PERSONAL,21-08-2024 09:16,UTC,0,0,0,91-180
ACC0000060,11853.31,55517.34,90,MEDIUM,WRITEOFF,CONSUMER,17-03-2025 23:14,Asia/Dubai,0,0,0,61-90
ACC0000061,175653.23,212611.44,60,HIGH,CLOSED,CREDIT_CARD,10-11-2024 11:35,Asia/Kolkata,100529.08,1,0.47283006,31-60
ACC0000062,753040.12,374609.37,1,LOW,WRITEOFF,CREDIT_CARD,22-05-2025 15:25,Asia/Kolkata,0,0,0,Jan-30
ACC0000063,78189.36,681318.89,45,LOW,CLOSED,AUTO,25-11-2024 06:32,Asia/Dubai,0,0,0,31-60
ACC0000064,523632.76,422050.66,90,MEDIUM,CLOSED,CREDIT_CARD,01-07-2024 00:31,Asia/Kolkata,0,0,0,61-90
ACC0000065,158634,586399.27,75,MEDIUM,CLOSED,AUTO,07-06-2024 19:56,UTC,0,0,0,61-90
ACC0000066,305292.05,192035.08,0,HIGH,WRITEOFF,CONSUMER,17-01-2024 23:06,UTC,0,0,0,0
ACC0000067,61609.85,659407.78,1,MEDIUM,WRITEOFF,CONSUMER,19-09-2025 02:14,UTC,125857.57,2,0.190864551,Jan-30
ACC0000068,573340.01,646783.15,0,LOW,WRITEOFF,CONSUMER,05-05-2025 23:55,Asia/Dubai,144861.95,1,0.223972981,0
ACC0000069,175340.78,37141.89,120,NPA,WRITEOFF,PERSONAL,29-11-2025 04:39,Asia/Dubai,2701.59,1,0.072737009,91-180
ACC0000070,317555.4,516746.28,5,LOW,CLOSED,BNPL,04-07-2024 19:59,Asia/Dubai,146613.67,2,0.283724674,Jan-30
ACC0000071,550060.49,75313.13,60,HIGH,WRITEOFF,CONSUMER,05-06-2025 06:37,Asia/Dubai,82726.09,1,1.098428521,31-60
ACC0000072,190260.07,561396.89,30,HIGH,WRITEOFF,CONSUMER,23-08-2024 00:20,Asia/Kolkata,0,0,0,Jan-30
ACC0000073,572555.92,187828,180,NPA,WRITEOFF,CREDIT_CARD,19-01-2025 21:26,Asia/Dubai,0,0,0,91-180
ACC0000074,665891.54,61324.97,0,MEDIUM,WRITEOFF,AUTO,09-04-2024 00:25,Asia/Dubai,112086.4,1,1.827744881,0
ACC0000075,677059.1,484217.05,60,LOW,WRITEOFF,PERSONAL,03-09-2024 23:49,Asia/Kolkata,0,0,0,31-60
ACC0000076,439167.1,299260.83,30,MEDIUM,WRITEOFF,PERSONAL,05-04-2024 12:39,Asia/Kolkata,0,0,0,Jan-30
ACC0000077,43888.46,394798.52,30,MEDIUM,ACTIVE,BNPL,12-01-2025 07:39,Asia/Dubai,0,0,0,Jan-30
ACC0000078,443498.5,388156.65,45,NPA,CLOSED,CREDIT_CARD,01-05-2025 16:13,UTC,0,0,0,31-60
ACC0000079,315782.22,696932.24,60,NPA,WRITEOFF,CONSUMER,23-07-2025 04:09,Asia/Dubai,0,0,0,31-60
ACC0000080,296150.23,468149.27,0,NPA,PAID,BNPL,09-04-2024 02:33,UTC,0,0,0,0
ACC0000081,617670.19,156190.22,5,MEDIUM,CLOSED,PERSONAL,19-02-2024 07:36,Asia/Dubai,0,0,0,Jan-30
ACC0000082,455087.25,175812.11,5,NPA,ACTIVE,CONSUMER,22-03-2025 02:01,Asia/Kolkata,0,0,0,Jan-30
ACC0000083,431739.57,95368.32,30,MEDIUM,ACTIVE,BNPL,14-06-2024 04:05,Asia/Dubai,0,0,0,Jan-30
ACC0000084,576787.66,662717.34,120,HIGH,CLOSED,BNPL,16-02-2024 22:20,UTC,39941.74,1,0.060269647,91-180
ACC0000085,331682.31,132875.13,5,NPA,CLOSED,PERSONAL,09-03-2025 05:49,Asia/Kolkata,0,0,0,Jan-30
ACC0000086,278951.75,124807.97,15,LOW,ACTIVE,CREDIT_CARD,22-09-2025 07:23,Asia/Dubai,18292.25,1,0.146563156,Jan-30
ACC0000087,24941.8,419043.04,90,MEDIUM,PAID,CONSUMER,03-01-2025 10:51,Asia/Kolkata,0,0,0,61-90
ACC0000088,82445.71,620729.25,15,MEDIUM,WRITEOFF,CONSUMER,22-08-2024 23:52,Asia/Kolkata,0,0,0,Jan-30
ACC0000089,367061.39,352923.59,60,MEDIUM,CLOSED,CONSUMER,15-07-2024 17:54,Asia/Dubai,0,0,0,31-60
ACC0000090,607321.62,122162.41,30,LOW,PAID,AUTO,18-07-2024 02:55,Asia/Dubai,51352.77,1,0.420364742,Jan-30
ACC0000091,259568.07,175038.94,180,NPA,PAID,PERSONAL,29-09-2024 13:54,Asia/Kolkata,0,0,0,91-180
ACC0000092,314848.72,400731.17,120,MEDIUM,CLOSED,CREDIT_CARD,26-08-2025 07:37,Asia/Kolkata,0,0,0,91-180
ACC0000093,401659.14,540876.53,15,HIGH,WRITEOFF,PERSONAL,27-02-2024 15:28,Asia/Kolkata,76806.42,1,0.14200361,Jan-30
ACC0000094,228023.21,639876.61,60,HIGH,ACTIVE,CREDIT_CARD,12-11-2024 23:30,UTC,0,0,0,31-60
ACC0000095,13365.46,357400.09,75,HIGH,ACTIVE,BNPL,27-04-2025 04:41,Asia/Kolkata,0,0,0,61-90
ACC0000096,377277.35,567991.39,15,MEDIUM,WRITEOFF,PERSONAL,08-08-2025 07:15,Asia/Kolkata,0,0,0,Jan-30
ACC0000097,350418.61,687977.06,1,NPA,ACTIVE,CONSUMER,14-02-2024 19:42,Asia/Dubai,0,0,0,Jan-30
ACC0000098,286032.66,653277.61,75,HIGH,PAID,AUTO,25-06-2025 00:16,UTC,0,0,0,61-90
ACC0000099,607352.93,237164.9,45,LOW,ACTIVE,CREDIT_CARD,12-06-2025 19:16,Asia/Kolkata,73020.06,1,0.307887297,31-60
ACC0000100,23333.97,123723.83,1,LOW,WRITEOFF,CREDIT_CARD,22-12-2024 00:10,Asia/Dubai,0,0,0,Jan-30
ACC0000101,105469.01,388304.18,15,LOW,ACTIVE,BNPL,05-08-2025 14:08,Asia/Dubai,0,0,0,Jan-30
ACC0000102,526293.53,5147.4,5,MEDIUM,CLOSED,AUTO,12-02-2025 22:01,UTC,194037.91,2,37.69629522,Jan-30
ACC0000103,388167.38,355473.4,180,HIGH,CLOSED,AUTO,25-05-2025 18:45,UTC,0,0,0,91-180
ACC0000104,555130.3,178643.43,0,HIGH,CLOSED,CONSUMER,15-05-2024 14:14,UTC,0,0,0,0
ACC0000105,99175.67,545375.05,90,NPA,CLOSED,AUTO,03-05-2024 03:42,Asia/Kolkata,0,0,0,61-90
ACC0000106,584099.99,504662.53,90,NPA,PAID,BNPL,11-09-2024 15:03,Asia/Dubai,0,0,0,61-90
ACC0000107,159480.73,20538.52,0,LOW,ACTIVE,AUTO,20-08-2025 03:53,Asia/Dubai,92102.15,1,4.48436158,0
ACC0000108,332144.01,359193.16,1,NPA,WRITEOFF,BNPL,08-11-2024 17:53,UTC,0,0,0,Jan-30
ACC0000109,92174.93,357553.08,0,HIGH,ACTIVE,PERSONAL,13-03-2024 18:36,Asia/Kolkata,106402.6,1,0.297585466,0
ACC0000110,211531.9,121513.53,90,HIGH,ACTIVE,CREDIT_CARD,15-01-2025 03:39,Asia/Dubai,0,0,0,61-90
ACC0000111,573347.79,512264.37,5,MEDIUM,PAID,AUTO,12-07-2025 05:08,Asia/Dubai,203051.84,2,0.396380955,Jan-30
ACC0000112,219453.71,298252.93,90,NPA,ACTIVE,AUTO,27-09-2024 07:42,UTC,89158.45,1,0.298935705,61-90
ACC0000113,693271.61,322797.99,30,HIGH,WRITEOFF,BNPL,17-11-2024 15:43,Asia/Kolkata,17339.29,1,0.053715607,Jan-30
ACC0000114,435378.17,57859.1,75,MEDIUM,WRITEOFF,CREDIT_CARD,25-11-2024 10:49,Asia/Kolkata,0,0,0,61-90
ACC0000115,412306.24,447187.05,60,HIGH,PAID,BNPL,16-03-2024 21:07,Asia/Dubai,86309.24,1,0.193004784,31-60
ACC0000116,310166.21,394440.34,75,HIGH,CLOSED,BNPL,02-06-2024 15:44,Asia/Kolkata,0,0,0,61-90
ACC0000117,597384.76,677879.66,0,NPA,ACTIVE,AUTO,13-08-2025 08:36,Asia/Dubai,0,0,0,0
ACC0000118,369788.07,431931.92,30,HIGH,PAID,PERSONAL,29-07-2024 20:18,Asia/Dubai,0,0,0,Jan-30
ACC0000119,15521.41,553590.62,120,NPA,CLOSED,CONSUMER,31-10-2024 00:37,Asia/Dubai,101828.2,1,0.183941339,91-180
ACC0000120,340350.94,38663.97,45,NPA,WRITEOFF,BNPL,19-07-2025 04:49,UTC,149993.55,1,3.87941409,31-60
ACC0000121,56121.91,436831.36,0,MEDIUM,WRITEOFF,CREDIT_CARD,04-10-2024 21:39,Asia/Kolkata,31643.02,1,0.072437611,0
ACC0000122,418168.82,195292.63,5,HIGH,CLOSED,CONSUMER,01-07-2025 18:38,UTC,0,0,0,Jan-30
ACC0000123,689539.78,404964.78,1,MEDIUM,WRITEOFF,CREDIT_CARD,12-12-2024 10:04,UTC,0,0,0,Jan-30
ACC0000124,199431.78,630551.89,45,HIGH,ACTIVE,CREDIT_CARD,08-11-2024 02:37,Asia/Dubai,392956.56,3,0.623194643,31-60
ACC0000125,59784,97193.92,30,HIGH,ACTIVE,AUTO,12-10-2024 09:46,Asia/Kolkata,0,0,0,Jan-30
ACC0000126,441723.45,403375.06,180,HIGH,ACTIVE,AUTO,07-09-2024 11:30,UTC,138805.01,1,0.344109053,91-180
ACC0000127,633627.59,292417.3,15,NPA,CLOSED,AUTO,19-02-2025 09:59,UTC,44254.11,1,0.151338891,Jan-30
ACC0000128,598038.07,96417.33,120,MEDIUM,WRITEOFF,BNPL,26-07-2025 11:58,UTC,0,0,0,91-180
ACC0000129,453421.31,189568.17,60,MEDIUM,CLOSED,CREDIT_CARD,26-08-2025 22:07,Asia/Dubai,113253.76,1,0.597430254,31-60
ACC0000130,249051.33,290814.12,30,MEDIUM,CLOSED,CREDIT_CARD,06-06-2025 12:33,UTC,0,0,0,Jan-30
ACC0000131,127471.21,51256.86,45,LOW,WRITEOFF,AUTO,28-06-2025 21:08,Asia/Dubai,0,0,0,31-60
ACC0000132,114032.1,402131.29,120,NPA,ACTIVE,BNPL,04-08-2024 01:51,UTC,135683.49,1,0.337410924,91-180
ACC0000133,279682.32,456590,30,LOW,WRITEOFF,AUTO,13-08-2025 14:45,UTC,0,0,0,Jan-30
ACC0000134,451975.95,109040.47,45,MEDIUM,ACTIVE,BNPL,16-03-2025 11:32,Asia/Dubai,0,0,0,31-60
ACC0000135,572734.13,552102.62,75,HIGH,PAID,PERSONAL,13-05-2024 06:15,UTC,130215.07,1,0.235853019,61-90
ACC0000136,721165.1,307912.15,45,MEDIUM,WRITEOFF,CONSUMER,12-08-2025 20:46,Asia/Dubai,0,0,0,31-60
ACC0000137,695023.01,679487.48,60,MEDIUM,ACTIVE,PERSONAL,21-01-2024 16:00,Asia/Kolkata,0,0,0,31-60
ACC0000138,216478.59,183146.23,15,NPA,ACTIVE,CREDIT_CARD,05-07-2025 09:34,Asia/Dubai,0,0,0,Jan-30
ACC0000139,249094.75,151194.34,15,MEDIUM,PAID,CREDIT_CARD,30-01-2025 18:17,Asia/Kolkata,0,0,0,Jan-30
ACC0000140,421520.63,693625.33,180,MEDIUM,ACTIVE,CREDIT_CARD,12-07-2025 18:14,UTC,266529.84,2,0.384256209,91-180
ACC0000141,248984.35,493675.37,60,LOW,PAID,BNPL,03-11-2025 20:30,UTC,0,0,0,31-60
ACC0000142,323807.5,398591.12,90,NPA,ACTIVE,CREDIT_CARD,24-12-2024 23:49,UTC,0,0,0,61-90
ACC0000143,246630.89,165704.16,180,LOW,CLOSED,PERSONAL,25-04-2024 10:38,Asia/Kolkata,51254.98,1,0.309316193,91-180
ACC0000144,738356.63,259713.4,30,MEDIUM,ACTIVE,PERSONAL,14-09-2025 13:24,Asia/Kolkata,0,0,0,Jan-30
ACC0000145,452448.1,259430.17,0,HIGH,ACTIVE,BNPL,25-06-2025 14:51,Asia/Kolkata,0,0,0,0
ACC0000146,307245.3,126898.89,1,NPA,WRITEOFF,BNPL,15-09-2025 06:01,Asia/Dubai,0,0,0,Jan-30
ACC0000147,43583.7,307154.06,45,LOW,WRITEOFF,BNPL,02-05-2024 06:28,Asia/Kolkata,148218.16,1,0.482553153,31-60
ACC0000148,426855.14,49292.28,180,MEDIUM,ACTIVE,BNPL,17-01-2025 05:00,Asia/Kolkata,0,0,0,91-180
ACC0000149,622567.55,101445.68,90,MEDIUM,PAID,BNPL,27-05-2024 17:54,Asia/Kolkata,0,0,0,61-90
ACC0000150,419376.61,608494.59,60,NPA,CLOSED,CONSUMER,18-03-2025 03:02,Asia/Dubai,0,0,0,31-60
ACC0000151,220346.65,321080.25,120,HIGH,CLOSED,CREDIT_CARD,05-10-2024 16:33,Asia/Dubai,23606.23,1,0.073521277,91-180
ACC0000152,269041.57,309747.09,15,LOW,PAID,PERSONAL,21-07-2025 18:45,Asia/Kolkata,0,0,0,Jan-30
ACC0000153,742279.36,570032.8,75,MEDIUM,CLOSED,CREDIT_CARD,17-11-2025 09:34,Asia/Dubai,114256.75,1,0.200438905,61-90
ACC0000154,417931.67,418448.72,120,NPA,CLOSED,PERSONAL,04-09-2024 18:28,Asia/Dubai,123943.53,1,0.296197656,91-180
ACC0000155,58554.77,308465.65,180,LOW,ACTIVE,CREDIT_CARD,27-06-2024 07:13,Asia/Kolkata,123047.96,1,0.398903281,91-180
ACC0000156,344880.85,319516.86,0,NPA,PAID,CREDIT_CARD,11-11-2024 01:50,Asia/Dubai,0,0,0,0
ACC0000157,297531.87,386751.58,45,LOW,CLOSED,PERSONAL,04-08-2025 11:09,Asia/Dubai,0,0,0,31-60
ACC0000158,89381.43,120713.33,15,HIGH,WRITEOFF,BNPL,24-12-2024 00:57,UTC,173997.17,3,1.441408086,Jan-30
ACC0000159,652148.1,405052.27,1,MEDIUM,ACTIVE,CREDIT_CARD,30-08-2024 07:54,UTC,112470.29,1,0.277668583,Jan-30
ACC0000160,318581.51,92726.83,60,LOW,WRITEOFF,PERSONAL,08-11-2025 14:29,Asia/Dubai,19658.68,1,0.212006385,31-60
ACC0000161,239801.58,572297.22,90,NPA,WRITEOFF,BNPL,17-08-2024 13:21,UTC,228861.88,2,0.399900387,61-90
ACC0000162,533470.65,221882.86,1,HIGH,CLOSED,CREDIT_CARD,10-08-2025 22:07,UTC,0,0,0,Jan-30
ACC0000163,241664.09,363387.88,45,MEDIUM,WRITEOFF,CREDIT_CARD,04-07-2025 10:36,Asia/Dubai,163273.22,2,0.449308381,31-60
ACC0000164,29021.15,646106.64,75,MEDIUM,PAID,PERSONAL,03-05-2025 02:21,Asia/Kolkata,0,0,0,61-90
ACC0000165,754910.61,299052.95,60,LOW,CLOSED,BNPL,16-06-2024 20:39,Asia/Kolkata,34067.78,1,0.11391889,31-60
ACC0000166,122720.99,339556.17,180,MEDIUM,PAID,PERSONAL,15-08-2025 06:23,Asia/Dubai,138840.21,2,0.408887313,91-180
ACC0000167,153565.14,696386.93,5,LOW,ACTIVE,CONSUMER,09-01-2025 06:03,UTC,29814.17,1,0.04281265,Jan-30
ACC0000168,467202.59,291566.66,60,HIGH,WRITEOFF,PERSONAL,25-02-2025 23:20,UTC,213801.19,2,0.73328408,31-60
ACC0000169,551035.1,233686.78,90,LOW,WRITEOFF,BNPL,21-09-2025 14:53,Asia/Kolkata,140621.84,1,0.60175351,61-90
ACC0000170,150604.65,453695.49,15,HIGH,PAID,CONSUMER,07-04-2024 04:58,UTC,0,0,0,Jan-30
ACC0000171,392857.09,238741.49,30,NPA,WRITEOFF,PERSONAL,30-08-2024 05:15,UTC,144676.44,2,0.605996218,Jan-30
ACC0000172,713754.98,320032.12,15,NPA,WRITEOFF,BNPL,05-06-2025 23:47,UTC,4550.57,1,0.014219104,Jan-30
ACC0000173,699827.45,204270.1,180,NPA,PAID,CONSUMER,26-03-2025 21:58,UTC,216863.08,2,1.06164867,91-180
ACC0000174,188094.2,26526.62,30,HIGH,ACTIVE,PERSONAL,24-10-2025 22:05,Asia/Kolkata,0,0,0,Jan-30
ACC0000175,203333.75,199517.46,45,HIGH,PAID,AUTO,22-07-2025 06:50,UTC,0,0,0,31-60
ACC0000176,236647.77,634833.58,30,HIGH,ACTIVE,CONSUMER,03-06-2025 10:13,Asia/Dubai,0,0,0,Jan-30
ACC0000177,790357.25,642591.42,0,LOW,ACTIVE,AUTO,06-10-2025 08:28,Asia/Kolkata,0,0,0,0
ACC0000178,14823.01,96522.09,0,HIGH,CLOSED,CONSUMER,28-01-2024 05:48,UTC,81234.98,1,0.841620607,0
ACC0000179,407836.21,151751.74,0,MEDIUM,ACTIVE,AUTO,11-04-2025 10:20,Asia/Dubai,0,0,0,0
ACC0000180,762459.28,88649.96,1,MEDIUM,PAID,CONSUMER,13-01-2025 17:14,Asia/Dubai,0,0,0,Jan-30
ACC0000181,207626.13,565223.07,30,LOW,CLOSED,CONSUMER,08-08-2025 22:53,UTC,0,0,0,Jan-30
ACC0000182,274742.93,525883.45,180,LOW,ACTIVE,AUTO,15-10-2024 05:20,Asia/Dubai,49019.47,1,0.093213563,91-180
ACC0000183,650740.61,363925.34,60,LOW,WRITEOFF,PERSONAL,02-09-2025 10:15,Asia/Kolkata,102894.76,1,0.282735904,31-60
ACC0000184,425176.56,3175.93,75,NPA,PAID,BNPL,30-03-2025 11:22,UTC,13961.55,1,4.396050921,61-90
ACC0000185,161464.15,49640.55,180,MEDIUM,CLOSED,CONSUMER,18-10-2025 00:55,Asia/Kolkata,0,0,0,91-180
ACC0000186,320779.13,253254.4,60,HIGH,PAID,PERSONAL,18-05-2025 14:37,Asia/Kolkata,0,0,0,31-60
ACC0000187,600261.56,237996.88,30,HIGH,CLOSED,CONSUMER,08-09-2024 11:18,Asia/Kolkata,31690.94,1,0.133156956,Jan-30
ACC0000188,100005.17,359280.32,60,NPA,PAID,CREDIT_CARD,09-07-2024 15:19,Asia/Dubai,0,0,0,31-60
ACC0000189,482625.07,555927.61,120,HIGH,ACTIVE,PERSONAL,10-10-2025 03:35,UTC,23942.19,1,0.0430671,91-180
ACC0000190,240240.94,193026.9,30,NPA,ACTIVE,CONSUMER,29-04-2024 05:28,Asia/Dubai,0,0,0,Jan-30
ACC0000191,564136.66,656099.9,15,HIGH,PAID,CREDIT_CARD,23-09-2025 04:44,Asia/Kolkata,2353.1,1,0.003586497,Jan-30
ACC0000192,562024.41,403381.38,1,MEDIUM,WRITEOFF,BNPL,07-01-2025 17:36,Asia/Kolkata,155613.21,2,0.385771921,Jan-30
ACC0000193,681534.96,691493.81,0,NPA,ACTIVE,CREDIT_CARD,27-12-2024 16:31,Asia/Kolkata,0,0,0,0
ACC0000194,775155.28,208702.28,60,MEDIUM,WRITEOFF,CREDIT_CARD,06-06-2025 02:57,Asia/Dubai,0,0,0,31-60
ACC0000195,460681.49,331299.88,1,LOW,WRITEOFF,PERSONAL,25-06-2025 13:11,Asia/Dubai,0,0,0,Jan-30
ACC0000196,631396.16,142305.98,90,LOW,CLOSED,PERSONAL,15-11-2024 01:00,UTC,0,0,0,61-90
ACC0000197,124303.32,36693.65,75,LOW,PAID,PERSONAL,04-10-2025 01:03,Asia/Kolkata,0,0,0,61-90
ACC0000198,132929.42,18142.57,45,NPA,PAID,CREDIT_CARD,11-04-2025 08:08,Asia/Dubai,0,0,0,31-60
ACC0000199,282615.05,198701.72,120,LOW,ACTIVE,CREDIT_CARD,09-10-2025 04:54,Asia/Dubai,149789.66,1,0.753841789,91-180
